k,Name,Age,Tm,IP,G,GS,Wgs,Lgs,ND,Wchp,Ltuf,Wtm,Ltm,tmW-L%,Wlst,Lsv,CG,SHO,QS,QS%,GmScA,Best,Wrst,BQR,BQS,sDR,lDR,RS/GS,RS/IP,IP/GS,Pit/GS,<80,80-99,100-119,≥120,Max
17,Matt Belisle\belisma01,26,CIN,40.0,30,2,0,0,2,0,0,1,1,.500,0,0,0,0,1,50%,55.0,63,47,10,2,0,1,2.5,3.6,4.8,82,1,1,0,0,87
18,Kris Benson\bensokr01,31,BAL,183.0,30,30,11,12,7,2,4,13,17,.433,4,3,3,0,18,60%,46.9,74,9,12,2,2,14,4.8,4.4,6.1,95,4,14,12,0,115
19,Jason Bergmann\bergmja01,24,WSN,64.2,29,6,0,1,5,0,0,2,4,.333,0,5,0,0,1,17%,44.3,59,33,12,4,1,1,3.9,2.5,5.1,87,1,4,1,0,108
20,Adam Bernero\bernead01,29,TOT,15.0,4,3,1,1,1,0,0,1,2,.333,1,0,0,0,1,33%,43.9,68,8,1,0,0,2,4.7,6.4,4.6,82,1,2,0,0,93
21,Chad Billingsley\billich01,21,LAD,90.0,18,16,6,4,6,1,1,9,7,.563,2,1,0,0,6,38%,50.4,79,26,9,4,0,8,4.7,5.0,5.4,95,1,10,5,0,111
22,Joe Blanton\blantjo01,25,OAK,194.1,32,31,16,12,3,4,3,18,13,.581,0,2,1,1,16,52%,45.1,83,13,17,8,0,15,5.0,4.9,6.2,100,1,13,17,0,118
23,Jeremy Bonderman\bondeje01,23,DET,214.0,34,34,14,8,12,2,1,18,16,.529,4,5,0,0,19,56%,52.7,82,19,17,4,0,14,4.9,4.7,6.3,97,5,12,17,0,117
24,Boof Bonser\bonsebo01,24,MIN,100.1,18,18,7,6,5,1,0,10,8,.556,2,2,0,0,7,39%,50.6,69,31,11,3,1,12,4.9,4.0,5.6,87,4,10,4,0,105
25,Dewon Brazelton\brazede01,26,SDP,18.0,9,2,0,2,0,0,0,0,2,.000,0,0,0,0,0,0%,7.0,14,0,5,4,0,1,3.0,7.7,3.2,72,2,0,0,0,76
26,Eude Brito*\britoeu01,27,PHI,18.1,5,2,0,2,0,0,0,0,2,.000,0,0,0,0,0,0%,27.5,37,18,1,0,0,1,2.0,2.0,4.3,79,1,1,0,0,87
27,Taylor Buchholz\buchhta01,24,HOU,113.0,22,19,6,9,4,0,0,7,12,.368,2,2,1,1,8,42%,45.9,85,7,14,8,1,8,3.7,3.4,5.6,87,4,8,7,0,107
28,Mark Buehrle*\buehrma01,27,CHW,204.0,32,32,12,13,7,1,0,18,14,.563,1,2,1,0,16,50%,45.0,81,3,16,3,0,16,4.8,4.5,6.4,97,3,12,17,0,118
29,Ambiorix Burgos\burgoam01,22,KCR,73.1,68,1,0,0,1,0,0,1,0,1.000,0,0,0,0,0,0%,37.0,37,37,21,5,0,1,9.0,21.0,2.7,59,1,0,0,0,59
30,A.J. Burnett\burnea.01,29,TOR,135.2,21,21,10,8,3,1,1,13,8,.619,1,2,2,1,12,57%,52.7,82,22,7,3,0,8,5.1,5.1,6.5,103,1,7,12,1,121
31,Dave Bush\bushda01,26,MIL,210.0,34,32,12,10,10,3,2,16,16,.500,5,4,3,2,18,56%,53.3,87,20,7,1,2,11,5.1,4.9,6.5,93,6,13,13,0,116
32,Paul Byrd\byrdpa01,35,CLE,179.0,31,31,10,9,12,4,4,16,15,.516,3,8,1,0,15,48%,43.8,76,12,15,3,0,17,6.4,5.8,5.8,92,7,12,12,0,119
33,Daniel Cabrera\cabreda01,25,BAL,148.0,26,26,9,10,7,1,1,12,14,.462,1,3,2,1,10,38%,50.1,86,14,10,6,0,12,5.5,4.7,5.7,103,2,4,18,2,124
34,Matt Cain\cainma01,21,SFG,190.2,32,31,13,12,6,4,2,16,15,.516,4,3,1,1,14,45%,53.3,87,19,18,9,0,16,4.7,4.4,6.1,106,0,11,16,4,131
35,Chris Capuano*\capuach01,27,MIL,221.1,34,34,11,12,11,0,5,17,17,.500,2,8,3,2,25,74%,52.5,83,15,7,0,0,10,4.0,3.3,6.5,99,2,15,16,1,125
36,Chris Carpenter\carpech01,31,STL,221.2,32,32,15,8,9,3,1,20,12,.625,4,3,5,3,19,59%,59.1,90,30,6,2,0,9,4.8,4.8,6.9,102,4,5,22,1,122
37,Hector Carrasco\carrahe01,36,LAA,100.1,56,3,0,2,1,0,1,1,2,.333,0,0,0,0,1,33%,46.0,63,35,18,6,1,1,2.7,2.3,4.7,81,1,2,0,0,89
38,Gustavo Chacin*\chacigu01,25,TOR,87.1,17,17,9,4,4,5,1,12,5,.706,1,1,0,0,6,35%,46.1,67,20,9,2,0,10,6.7,6.5,5.1,86,4,11,2,0,110
39,Shawn Chacon\chacosh01,28,TOT,109.0,26,20,6,6,8,2,1,10,10,.500,2,1,0,0,5,25%,41.9,65,10,28,9,1,12,4.6,5.8,4.9,86,5,10,5,0,111
40,Bruce Chen*\chenbr01,29,BAL,98.2,40,12,0,5,7,0,0,3,9,.250,2,4,0,0,1,8%,37.3,58,11,18,11,1,3,3.6,2.3,4.9,91,1,9,2,0,110
41,Brandon Claussen*\clausbr01,27,CIN,77.0,14,14,3,8,3,2,2,5,9,.357,1,1,0,0,4,29%,42.9,76,2,9,5,0,7,3.6,3.8,5.5,95,2,7,5,0,115
42,Roger Clemens\clemero02,43,HOU,113.1,19,19,7,6,6,1,3,9,10,.474,3,2,0,0,12,63%,59.6,80,42,4,2,1,6,3.8,3.1,6.0,96,2,8,9,0,115
43,Matt Clement\clemema01,31,BOS,65.1,12,12,5,5,2,2,0,6,6,.500,1,1,0,0,4,33%,40.3,63,13,12,5,0,7,6.0,5.3,5.4,96,0,7,5,0,108
44,Bartolo Colon\colonba01,33,LAA,56.1,10,10,1,5,4,0,3,5,5,.500,1,3,1,1,5,50%,44.5,81,11,8,2,0,7,4.5,2.8,5.6,85,2,5,3,0,102
45,Roman Colon\colonro01,26,DET,38.2,20,1,0,0,1,0,0,0,1,.000,0,1,0,0,0,0%,25.0,25,25,8,4,0,0,4.9,0.0,2.3,43,1,0,0,0,43
46,José Contreras\contrjo01,34,CHW,196.0,30,30,13,9,8,1,1,15,15,.500,3,5,1,1,16,53%,51.4,85,21,15,8,0,14,5.1,5.1,6.5,101,3,7,19,1,122
